word,level
be,A1
do,A1
have,A2
the,A1
fifth,A1
first,A1
fourth,A1
second,A1
third,A1
a,A1
to,A1
seem,A2
used to,A2
need,B1
shall,A2
must,A1
have to,A1
ought,B1
should,A1
may,A2
cannot,A1
could,A1
might,A2
can,A1
will,A1
would,A1
all right,A2
ah,A2
attention,A2
bye,A1
dear,A2
goodbye,A1
hello,A1
hey,A1
hi,A1
no,A1
oh,A1
OK,A1
please,A1
sorry,A1
thanks,A1
welcome,A1
well,A1
wow,A2
yeah,A1
yes,A1
after,A2
although,A2
and,A1
as,A2
because,A1
before,A2
but,A1
except,B1
if,A1
nor,B1
now,B1
once,B1
or,A1
plus,B2
since,A2
so,A1
than,A1
that,A1
though,B1
till,B1
unless,B1
until,A1
when,A1
whenever,B1
where,A1
whereas,B2
wherever,B2
whether,B1
while,A2
yet,B2
billion,A2
eight,A1
eighteen,A1
eighty,A1
eleven,A1
fifteen,A1
fifty,A1
five,A1
forty,A1
four,A1
fourteen,A1
hundred,A1
million,A1
nine,A1
nineteen,A1
ninety,A1
one,A1
seven,A1
seventeen,A1
seventy,A1
six,A1
sixteen,A1
sixty,A1
ten,A1
thirteen,A1
thirty,A1
thousand,A1
three,A1
twelve,A1
twenty,A1
two,A1
zero,A2
all,A1
another,A1
any,A1
both,A1
double,A2
dozen,B2
each,A1
either,A2
enough,A1
every,A1
few,A1
first,A1
half,A1
her,A1
his,A1
its,A1
last,A1
least,A2
less,A2
little,A1
lot,A1
many,A1
more,A1
most,A1
much,A1
my,A1
neither,A2
no,A1
one,A1
our,A1
second,A1
several,A2
some,A1
such,A2
that,A1
their,A1
this,A1
what,A1
whatever,B1
which,A1
whose,A2
your,A1
next to,A1
according to,A2
about,A1
above,A1
across,A1
after,A1
against,A2
along,A2
among,A2
around,A1
as,A1
at,A1
before,A1
behind,A1
below,A1
between,A1
beyond,B2
but,B2
by,A1
despite,B1
down,A1
during,A1
except,A2
following,B2
for,A1
from,A1
in,A1
including,A2
inside,A2
into,A1
like,A1
near,A1
of,A1
off,A1
on,A1
onto,A2
opposite,A1
out,A1
outside,A2
over,A1
past,A1
per,A2
plus,B1
round,A2
since,A2
than,A1
through,A1
throughout,B1
till,B1
to,A1
towards,A2
under,A1
unlike,B1
until,A1
up,A1
upon,B1
via,B2
with,A1
within,B1
without,A1
no one,A1
all,A1
another,A1
any,A1
anybody,A2
anyone,A1
anything,A1
anywhere,A2
both,A1
double,A2
each,A1
either,A2
enough,A1
everybody,A1
everyone,A1
everything,A1
few,A1
half,A1
he,A1
her,A1
hers,A2
herself,A2
him,A1
himself,A2
his,A2
I,A1
it,A1
itself,A2
least,A2
less,A2
little,A1
lot,A1
many,A1
me,A1
mine,A2
more,A1
most,A1
much,A1
myself,A2
neither,A2
nobody,A1
none,A2
nothing,A1
one,A1
other,A1
ours,B1
ourselves,A2
own,A1
plenty,B1
same,A1
several,A2
she,A1
some,A1
somebody,A1
someone,A1
something,A1
somewhere,A2
such,A2
that,A1
theirs,B1
them,A1
themselves,A2
they,A1
this,A1
us,A1
we,A1
what,A1
whatever,B1
when,A1
which,A1
who,A1
whom,B2
whose,A2
you,A1
yours,A2
yourself,A1
abandon,B2
accept,A2
access,B1
accompany,B2
account,B2
accuse,B2
achieve,A2
acknowledge,B2
acquire,B2
act,A2
adapt,B2
add,A1
address,B2
admire,B1
admit,B1
adopt,B2
advance,B2
advertise,A2
advise,B1
affect,A2
afford,B1
age,B1
agree,A1
aid,B2
aim,B1
alarm,B2
allow,A2
alter,B2
amount,B2
analyse,B1
announce,B1
annoy,B1
answer,A1
apologize,B1
appeal,B2
appear,A2
apply,A2
appreciate,B1
approach,B2
approve,B2
argue,A2
arise,B2
arrange,A2
arrest,B1
arrive,A1
ask,A1
assess,B2
assist,B1
associate,B2
assume,B2
attach,B1
attack,A2
attempt,B2
attend,A2
attract,B1
average,B1
avoid,A2
award,B1
back,B2
bake,B1
balance,B1
ban,B1
bar,B2
base,B1
battle,B2
be,A1
bear,B2
beat,A2
become,A1
beg,B2
begin,A1
behave,A2
believe,A1
belong,A2
bend,B1
benefit,B1
bet,B2
bill,B2
bite,B1
blame,B2
block,B1
blow,A2
board,B1
boil,A2
bomb,B1
book,A2
border,B2
born,A1
borrow,A2
bother,B1
brand,B1
break,A1
breathe,B1
bring,A1
broadcast,B2
brush,A2
build,A1
burn,A2
bury,B1
buy,A1
calculate,B2
call,A1
calm,B1
camp,A2
campaign,B1
cancel,B2
capture,B2
care,A2
carry,A1
cast,B2
catch,A2
cause,A2
celebrate,A2
centre,B1
chain,B2
chair,B2
challenge,B2
change,A1
charge,B1
chart,B2
chat,A2
cheat,B1
check,A1
choose,A1
circle,A2
cite,B2
claim,B1
clean,A1
clear,B1
click,B1
climb,A1
close,A1
coach,B1
collapse,B2
collect,A2
combine,B1
come,A1
comfort,B2
command,B2
comment,B1
commission,B2
commit,B1
communicate,A2
compare,A1
compete,A2
complain,A2
complete,A1
concentrate,B1
concern,B2
conclude,B1
conduct,B2
confirm,B1
conflict,B2
confuse,B1
connect,A2
consider,A2
consist,B1
construct,B2
